TP9,AF7,AF8,TP10
971.68,-843.262,-880.371,-859.375
453.125,979.492,-927.734,-996.582
-349.121,486.328,491.211,483.887
-923.828,-601.562,-318.359,-554.199
-1000.0,-942.383,-936.523,-924.805
-1000.0,-1000.0,-1000.0,-1000.0
-595.703,-872.559,-822.754,-917.48
255.371,-482.91,-492.676,-589.844
-1000.0,-818.848,-713.379,-849.609
-1000.0,-1000.0,-1000.0,-1000.0
-877.93,-1000.0,-1000.0,-1000.0
-14.16,-696.289,-791.504,-774.414
617.676,142.578,125.0,138.672
-842.773,895.508,964.844,842.285
894.043,-773.438,-787.109,-783.691
132.324,935.059,950.195,915.039
-577.148,-134.766,-103.516,-124.023
-1000.0,-517.578,-565.918,-542.969
-1000.0,-1000.0,-1000.0,-1000.0
-973.633,-1000.0,-1000.0,-1000.0
-160.156,-883.789,-969.238,-885.742
455.078,147.461,21.973,114.258
-867.676,702.148,562.988,645.996
-974.609,-788.086,-807.129,-801.758
215.332,-973.145,-988.77,-968.75
-506.836,86.426,215.332,103.027
-971.191,-319.824,-363.281,-428.711
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-326.66,-972.656,-1000.0,-1000.0
317.871,75.195,-63.965,-33.691
-926.758,515.625,343.262,470.215
-899.902,-830.566,-842.285,-836.426
308.105,-909.668,-884.277,-894.531
-345.215,357.91,490.723,338.379
-903.809,-223.633,-208.984,-270.996
-1000.0,-1000.0,-983.398,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-453.125,-1000.0,-1000.0,-1000.0
234.863,-79.102,-107.422,-195.312
981.934,349.121,286.133,319.336
-846.191,-885.254,-880.371,-889.16
-760.742,-1000.0,-1000.0,-1000.0
-229.98,-552.734,-642.09,-587.891
791.016,97.168,-23.438,-115.234
-881.348,865.723,819.336,872.07
820.801,-805.664,-820.312,-803.711
64.941,808.594,921.875,795.898
-642.09,333.496,357.422,283.691
-1000.0,-796.875,-800.293,-787.598
-1000.0,-1000.0,-1000.0,-1000.0
-848.145,-1000.0,-1000.0,-1000.0
-407.715,-613.77,-747.07,-683.105
686.523,-187.988,-415.039,-278.809
-907.715,816.406,765.137,814.453
911.133,-818.359,-850.586,-859.375
251.953,947.266,-970.703,729.492
-503.906,542.48,564.453,289.062
-980.469,-695.312,-519.043,-644.531
-1000.0,-1000.0,-1000.0,-996.094
-960.449,-928.223,-971.191,-942.383
612.793,-877.93,-846.68,-870.117
-228.027,537.109,563.965,604.004
-843.75,-318.848,-67.383,-85.938
-1000.0,-853.027,-826.172,-858.398
-1000.0,-1000.0,-1000.0,-1000.0
-655.273,-1000.0,-1000.0,-1000.0
50.293,-587.891,-565.43,-583.496
887.695,452.637,555.664,319.824
-901.855,969.727,957.52,951.66
726.562,-818.359,-828.125,-822.754
-65.43,600.098,598.633,649.902
-756.348,25.879,64.453,129.883
-1000.0,-842.285,-855.469,-805.176
-1000.0,-1000.0,-1000.0,-1000.0
-750.0,-1000.0,-1000.0,-1000.0
-196.777,-563.965,-625.977,-568.359
797.363,119.141,92.773,16.113
-893.066,876.953,829.102,871.582
817.383,-799.805,-814.941,-817.871
140.625,755.859,804.688,740.723
-619.629,280.762,270.508,267.09
-1000.0,-816.406,-819.824,-822.266
-1000.0,-1000.0,-1000.0,-1000.0
-869.629,-1000.0,-1000.0,-1000.0
-460.938,-628.906,-747.559,-661.621
613.77,-213.379,-414.062,-293.945
-926.27,830.566,767.578,808.105
904.785,-821.289,-853.027,-838.867
391.113,941.406,-965.332,899.902
-404.297,454.102,484.863,417.48
-963.379,-657.715,-458.008,-606.445
-1000.0,-996.582,-1000.0,-985.352
672.363,-809.57,-821.289,-809.57
-105.957,752.93,762.207,756.348
-710.449,-240.723,-246.582,-142.578
-1000.0,-805.664,-712.402,-723.145
-1000.0,-1000.0,-1000.0,-1000.0
-882.324,-1000.0,-1000.0,-1000.0
1.465,-692.383,-822.266,-745.117
644.043,140.625,102.051,131.836
-835.449,895.508,955.078,719.238
898.926,-773.926,-784.668,-791.016
114.746,938.965,932.617,925.293
-560.059,-68.848,-17.578,12.207
-1000.0,-496.582,-567.871,-455.078
-1000.0,-1000.0,-1000.0,-1000.0
-969.238,-1000.0,-1000.0,-1000.0
-215.82,-926.758,-977.539,-852.051
398.926,106.934,-30.762,145.996
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-907.227,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-548.828,-1000.0,-1000.0,-1000.0
174.805,-253.418,-142.09,-360.84
918.457,204.102,214.844,208.008
-830.566,-915.527,-929.199,-915.527
588.379,-816.406,-823.242,-816.406
-101.074,792.969,821.777,812.012
-728.516,-236.816,-247.559,-233.887
-1000.0,-806.152,-688.965,-849.121
-1000.0,-1000.0,-1000.0,-1000.0
-872.07,-1000.0,-1000.0,-1000.0
13.672,-659.668,-743.652,-653.809
682.129,140.625,111.816,147.461
-832.031,916.016,963.379,843.75
837.891,-773.438,-785.645,-800.293
89.844,947.754,939.941,771.973
-604.004,-51.758,3.418,-138.184
-1000.0,-465.82,-546.387,-751.465
-1000.0,-1000.0,-1000.0,-1000.0
-972.656,-1000.0,-1000.0,-1000.0
-159.18,-922.363,-975.098,-897.461
424.316,110.352,-28.32,65.918
-876.465,589.355,426.27,560.059
-961.426,-794.434,-830.566,-800.781
245.605,-921.875,-925.781,-930.664
-445.312,219.238,499.023,383.301
-937.5,-277.344,-199.707,-349.609
-1000.0,-1000.0,-993.164,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-432.617,-1000.0,-1000.0,-1000.0
227.539,-103.516,-67.871,-151.367
221.191,242.188,225.098,256.348
-1000.0,-1000.0,-1000.0,-1000.0
-812.988,-1000.0,-1000.0,-1000.0
-313.965,-562.012,-627.93,-626.465
802.246,37.109,48.828,-117.676
-881.348,882.812,824.219,844.727
864.258,-804.688,-819.336,-809.57
168.945,848.633,989.746,863.281
-543.457,372.07,449.219,307.617
-1000.0,-732.422,-610.352,-761.23
-1000.0,-1000.0,-1000.0,-1000.0
-918.945,-1000.0,-1000.0,-1000.0
-526.367,-763.184,-771.484,-768.555
416.992,-362.305,-472.168,-462.891
-957.031,772.949,668.945,710.449
971.191,-852.051,-901.855,-897.461
546.387,997.07,-912.109,-996.094
-232.422,493.652,492.676,542.969
-60.547,580.566,597.168,699.219
-729.004,-8.789,40.527,111.328
-1000.0,-831.055,-835.938,-802.734
-1000.0,-1000.0,-1000.0,-1000.0
-746.582,-1000.0,-1000.0,-1000.0
