TP9,AF7,AF8,TP10
-1000.0,-1000.0,-1000.0,-1000.0
-947.266,-1000.0,-1000.0,-1000.0
-80.078,-815.43,-957.52,-846.191
504.883,159.668,80.078,111.328
-854.492,788.574,665.039,718.75
967.773,-779.297,-798.828,-790.527
136.719,-991.211,998.047,-986.328
-539.551,48.34,140.137,53.711
-1000.0,-365.234,-419.922,-356.445
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-213.379,-929.688,-978.027,-970.703
385.254,110.352,-60.547,51.758
-895.02,584.473,375.488,528.32
-926.758,-816.895,-830.078,-822.754
-664.062,-1000.0,-1000.0,-1000.0
49.805,-574.707,-570.312,-583.984
896.484,493.652,559.57,291.504
-895.996,969.238,942.383,954.102
708.984,-827.637,-825.195,-829.59
-132.324,614.746,623.535,648.926
-782.227,77.637,83.008,-31.25
-1000.0,-835.938,-849.121,-833.984
-1000.0,-1000.0,-1000.0,-1000.0
-732.91,-1000.0,-1000.0,-1000.0
-178.711,-553.711,-619.141,-595.703
825.195,198.242,147.461,5.371
-872.559,875.0,848.633,922.363
812.5,-810.059,-817.871,-843.262
53.223,811.035,831.543,671.875
-659.668,324.707,243.652,-7.324
-1000.0,-800.293,-833.496,-778.32
-1000.0,-1000.0,-1000.0,-1000.0
945.312,-841.797,-886.23,-850.586
406.25,995.605,-927.734,-980.469
-434.082,486.328,483.887,506.348
-940.918,-637.207,-359.375,-500.488
-1000.0,-960.449,-945.312,-945.312
-1000.0,-1000.0,-1000.0,-1000.0
-568.848,-867.188,-822.266,-926.27
327.637,-511.23,-497.07,-553.223
982.91,667.48,637.207,638.184
-967.773,-901.367,-954.59,-930.176
613.77,-913.086,-866.211,-899.902
-274.902,525.879,542.969,561.035
-858.398,-413.574,-186.035,-291.992
-1000.0,-860.352,-819.824,-860.352
-1000.0,-1000.0,-1000.0,-1000.0
-654.785,-1000.0,-1000.0,-1000.0
92.285,-594.238,-568.359,-566.895
902.344,482.422,551.758,384.766
-903.809,989.258,973.145,965.332
715.332,-827.148,-832.031,-833.984
-37.109,583.496,589.844,607.91
-767.09,-15.137,42.969,5.859
-1000.0,-839.844,-847.168,-841.797
-1000.0,-1000.0,-1000.0,-1000.0
-746.094,-1000.0,-1000.0,-1000.0
-248.047,-562.012,-609.863,-568.848
802.246,178.223,271.484,74.219
-895.02,886.719,850.586,880.371
810.059,-804.688,-819.824,-801.27
145.508,760.254,811.035,724.121
-615.723,314.941,291.992,276.855
-1000.0,-797.363,-812.5,-767.578
-1000.0,-1000.0,-1000.0,-1000.0
451.172,-865.234,-838.379,-850.098
-287.598,387.207,584.961,517.578
-787.109,-148.438,-152.344,-131.348
-1000.0,-1000.0,-886.719,-930.664
-1000.0,-1000.0,-1000.0,-1000.0
-691.895,-1000.0,-1000.0,-1000.0
126.953,-333.008,-205.566,-502.441
866.699,183.594,182.129,166.016
-826.172,-932.617,-930.176,-981.445
662.109,-807.129,-821.777,-807.129
-80.566,768.066,765.625,700.684
-717.285,-252.441,-257.324,-189.453
-1000.0,-774.414,-697.266,-685.547
-1000.0,-1000.0,-1000.0,-1000.0
-880.371,-1000.0,-1000.0,-1000.0
-11.23,-738.281,-857.91,-656.738
618.164,143.066,109.375,161.621
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-1000.0,-1000.0,-1000.0,-1000.0
-321.777,-986.328,-977.539,-1000.0
307.129,-1.465,-62.988,-79.59
-933.594,441.895,324.219,396.484
-872.559,-834.473,-859.863,-830.566
359.863,-874.023,-851.562,-870.605
-358.398,397.949,606.934,449.707
-850.586,-225.098,-217.285,-323.242
-1000.0,-1000.0,-853.027,-997.559
-1000.0,-1000.0,-1000.0,-1000.0
-639.16,-1000.0,-1000.0,-1000.0
150.391,-290.527,-155.273,-312.988
895.02,187.012,188.477,213.379
-825.195,-924.805,-934.57,-941.406
620.117,-857.91,-923.34,-921.875
-119.141,809.57,777.832,628.418
-705.566,-240.723,-246.582,-232.422
-1000.0,-733.887,-674.805,-849.121
-1000.0,-1000.0,-1000.0,-1000.0
-849.121,-1000.0,-1000.0,-1000.0
20.508,-721.68,-825.684,-666.016
633.301,143.066,107.91,142.578
-833.496,852.539,934.57,808.594
857.91,-773.438,-791.992,-786.133
51.758,961.914,975.586,958.008
-560.059,-64.453,90.332,40.039
-1000.0,-449.707,-465.82,-489.746
-1000.0,-1000.0,-1000.0,-1000.0
-984.375,-1000.0,-1000.0,-1000.0
-212.891,-943.359,-974.121,-943.359
392.09,87.891,-35.156,62.012
-1000.0,-844.727,-823.242,-870.605
-1000.0,-1000.0,-1000.0,-1000.0
-697.754,-1000.0,-1000.0,-1000.0
-102.539,-586.914,-556.641,-588.867
900.391,461.426,574.707,322.754
-880.859,960.938,940.43,929.688
760.254,-810.547,-828.125,-813.477
-30.273,666.016,707.031,700.684
-696.289,205.566,167.969,98.633
-1000.0,-827.148,-850.098,-811.523
-1000.0,-1000.0,-1000.0,-1000.0
-802.246,-1000.0,-1000.0,-1000.0
-400.879,-586.426,-721.191,-624.023
674.316,-66.406,-232.91,-246.582
-902.832,864.746,804.688,852.051
886.719,-804.688,-815.918,-821.289
385.254,843.262,979.492,895.508
-93.262,626.953,789.062,867.676
-270.508,523.438,530.273,557.617
-865.234,-396.484,-163.086,-274.414
-1000.0,-869.629,-838.379,-888.184
-1000.0,-1000.0,-1000.0,-1000.0
-650.391,-1000.0,-1000.0,-1000.0
74.707,-585.938,-567.871,-558.105
