timestamps,TP9,AF7,AF8,TP10
1669629471.582,711.426,149.414,94.727,137.695
1669629471.586,-614.746,-1000.000,-1000.000,-1000.000
1669629471.590,-1000.000,-1000.000,-929.199,-1000.000
1669629471.594,-544.434,145.020,318.848,82.031
1669629471.598,729.980,-773.926,-788.086,-790.527
1669629471.602,899.414,164.551,158.691,171.875
1669629471.605,-390.625,-1000.000,-1000.000,-1000.000
1669629471.609,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.613,-670.898,-130.371,-144.043,-110.840
1669629471.617,536.621,-805.176,-822.266,-807.617
1669629471.621,-966.309,367.188,286.621,322.266
1669629471.623,-178.711,-942.383,-980.957,-960.449
1669629471.627,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.631,-773.438,-220.703,-252.441,-206.055
1669629471.635,351.562,-864.746,-838.379,-854.980
1669629471.639,-880.371,603.516,396.484,552.246
1669629471.643,7.324,-780.273,-940.918,-804.199
1669629471.647,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.650,-881.836,-213.379,-230.469,-276.367
1669629471.654,176.270,-945.801,-951.660,-949.707
1669629471.658,-840.820,866.211,842.285,811.035
1669629471.662,161.621,-434.082,-420.410,-516.602
1669629471.666,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.668,-985.840,-306.152,-308.594,-382.324
1669629471.672,4.883,949.707,940.918,912.598
1669629471.676,-847.656,-950.195,-957.520,-967.773
1669629471.680,288.574,-95.703,-85.449,-172.852
1669629471.684,-986.328,-1000.000,-1000.000,-1000.000
1669629471.688,-1000.000,-500.977,-596.680,-613.281
1669629471.692,-151.367,824.219,773.926,678.223
1669629471.695,-905.762,-875.000,-883.301,-856.445
1669629471.699,491.699,86.426,-57.129,45.410
1669629471.703,-820.801,-1000.000,-1000.000,-1000.000
1669629471.707,-1000.000,-773.926,-711.426,-803.711
1669629471.711,-327.637,558.105,623.535,470.703
1669629471.713,970.703,-811.523,-831.055,-809.570
1669629471.717,679.199,154.785,95.215,139.160
1669629471.721,-643.066,-1000.000,-1000.000,-1000.000
1669629471.725,-1000.000,-1000.000,-883.301,-1000.000
1669629471.729,-497.559,207.031,400.391,161.133
1669629471.733,790.527,-774.902,-794.922,-788.086
1669629471.737,869.629,150.879,159.180,163.086
1669629471.740,-427.246,-1000.000,-1000.000,-1000.000
1669629471.744,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.748,-655.762,-68.848,-51.758,-85.449
1669629471.752,560.059,-791.992,-812.988,-803.223
1669629471.756,-983.887,329.590,272.949,296.875
1669629471.758,-211.426,-953.613,-978.516,-973.145
1669629471.762,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.766,-760.742,-208.008,-242.188,-184.570
1669629471.770,374.512,-854.492,-833.984,-848.145
1669629471.774,-888.672,577.148,382.324,542.969
1669629471.778,-15.137,-804.688,-946.777,-810.547
1669629471.782,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.785,-844.238,-213.379,-232.910,-256.348
1669629471.789,237.305,-931.641,-939.941,-937.012
1669629471.793,-846.191,828.125,809.082,791.992
1669629471.797,128.906,-497.070,-473.145,-536.621
1669629471.801,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.803,-969.238,-268.555,-231.934,-339.844
1669629471.807,38.086,973.145,980.957,957.031
1669629471.811,-842.285,-972.656,-977.051,992.188
1669629471.815,258.301,-139.648,-104.980,-238.770
1669629471.819,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.823,-1000.000,-470.215,-546.387,-544.922
1669629471.827,-135.742,846.680,803.223,744.141
1669629471.830,-889.648,-884.277,-895.020,-872.070
1669629471.834,437.988,62.012,-59.570,30.762
1669629471.838,-874.512,-1000.000,-1000.000,-1000.000
1669629471.842,-1000.000,-740.234,-691.895,-763.184
1669629471.846,-308.594,593.262,649.902,520.020
1669629471.848,991.699,-817.383,-838.379,-817.383
1669629471.852,629.395,152.832,74.707,128.906
1669629471.856,-695.312,-1000.000,-1000.000,-1000.000
1669629471.860,-1000.000,-996.094,-853.027,-986.328
1669629471.864,-491.211,237.305,447.266,187.988
1669629471.868,822.266,-776.367,-801.270,-789.551
1669629471.872,838.867,138.672,139.160,156.250
1669629471.875,-471.191,-1000.000,-1000.000,-1000.000
1669629471.879,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.883,-648.438,-40.527,46.875,-39.062
1669629471.887,585.449,-785.645,-803.223,-799.316
1669629471.891,-996.094,283.203,253.418,284.180
1669629471.908,-238.770,-972.656,-977.051,-975.098
1669629471.912,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.916,-755.371,-200.195,-241.211,-179.199
1669629471.920,392.578,-840.820,-831.055,-846.680
1669629471.924,-900.879,521.484,350.586,543.457
1669629471.928,-52.246,-851.074,-963.379,-813.965
1669629471.932,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.935,-846.191,-221.191,-244.629,-210.449
1669629471.939,230.469,-918.457,-904.785,-916.504
1669629471.943,-850.098,781.250,691.895,770.996
1669629471.947,107.422,-562.012,-639.648,-555.664
1669629471.951,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.953,-950.684,-265.625,-207.031,-281.250
1669629471.957,71.777,983.398,992.188,988.770
1669629471.961,-839.844,-993.164,-988.281,973.633
1669629471.965,246.582,-193.359,-129.883,-248.047
1669629471.969,-1000.000,-1000.000,-1000.000,-1000.000
1669629471.973,-1000.000,-434.570,-525.391,-449.219
1669629471.977,-73.730,874.023,812.988,831.543
1669629471.980,-873.047,-894.531,-901.367,-892.578
1669629471.984,405.762,37.598,-63.965,32.227
1669629471.988,-897.461,-1000.000,-1000.000,-1000.000
1669629471.992,-1000.000,-689.941,-681.152,-691.406
1669629471.996,-243.652,649.902,671.387,613.281
1669629472.000,-970.703,-827.637,-846.680,-831.055
1669629472.004,618.164,148.438,26.855,122.070
1669629472.008,-693.848,-1000.000,-1000.000,-1000.000
1669629472.012,-1000.000,-969.238,-818.848,-955.566
