timestamps,TP9,AF7,AF8,TP10
1669195275.269,-597.168,-1000.000,-1000.000,-203.613
1669195275.273,-1000.000,-896.484,-875.000,-580.078
1669195275.277,-671.387,488.281,519.531,-243.652
1669195275.281,732.422,-814.453,-830.566,338.379
1669195275.284,963.867,479.004,583.008,548.828
1669195275.288,-531.250,-910.645,-859.375,-108.887
1669195275.292,-1000.000,-1000.000,-1000.000,-585.449
1669195275.296,-836.914,382.812,421.387,-364.746
1669195275.300,581.543,-833.984,-830.078,226.562
1669195275.303,-918.945,686.035,633.301,569.336
1669195275.307,-378.418,-715.332,-763.184,5.859
1669195275.311,-1000.000,-1000.000,-1000.000,-533.691
1669195275.315,-842.773,158.203,119.141,-399.414
1669195275.319,527.832,-870.117,-845.215,148.438
1669195275.323,-846.680,784.668,685.059,580.078
1669195275.327,-127.441,-580.566,-722.168,122.070
1669195275.330,-1000.000,-1000.000,-1000.000,-490.723
1669195275.334,-889.160,-163.574,-10.742,-441.406
1669195275.338,434.082,-951.172,-896.484,80.566
1669195275.342,-803.223,832.520,780.762,591.309
1669195275.346,242.676,-553.711,-604.004,232.910
1669195275.347,-995.605,-1000.000,-1000.000,-448.242
1669195275.351,-1000.000,-524.414,-252.930,-486.328
1669195275.355,282.227,900.879,-991.699,5.371
1669195275.359,-805.176,908.203,878.418,566.406
1669195275.363,537.109,-551.270,-513.184,310.059
1669195275.367,-828.613,-1000.000,-1000.000,-404.785
1669195275.371,-1000.000,-744.629,-631.836,-503.906
1669195275.374,54.688,698.730,760.254,-79.590
1669195275.378,-868.652,-958.496,991.211,505.859
1669195275.382,708.496,-415.039,-469.238,379.883
1669195275.386,-672.363,-1000.000,-1000.000,-355.957
1669195275.390,-1000.000,-812.500,-838.379,-546.387
1669195275.407,-290.527,576.660,594.238,-150.391
1669195275.411,-993.164,-867.188,-945.312,468.262
1669195275.415,835.938,-195.801,-441.895,456.055
1669195275.419,-581.543,-1000.000,-1000.000,-283.691
1669195275.423,-1000.000,-838.867,-829.590,-553.711
1669195275.427,-591.797,515.625,517.578,-199.219
1669195275.431,862.305,-819.336,-852.051,400.391
1669195275.434,899.414,154.297,69.824,508.789
1669195275.438,-589.844,-1000.000,-1000.000,-189.941
1669195275.442,-1000.000,-886.230,-862.793,-567.871
1669195275.446,-760.254,494.141,513.672,-292.480
1669195275.450,713.867,-815.430,-829.102,323.730
1669195275.451,968.262,492.188,584.961,552.246
1669195275.455,-554.199,-904.297,-853.027,-122.070
1669195275.459,-1000.000,-1000.000,-1000.000,-563.965
1669195275.463,-833.496,382.812,402.832,-337.402
1669195275.467,589.844,-830.078,-828.613,237.305
1669195275.471,-926.758,665.527,630.859,580.566
1669195275.475,-395.508,-742.676,-770.020,7.812
1669195275.478,-1000.000,-1000.000,-1000.000,-535.645
1669195275.482,-843.750,195.801,135.254,-391.113
1669195275.486,530.273,-865.723,-840.820,168.945
1669195275.490,-851.074,780.762,672.852,585.938
1669195275.494,-155.762,-577.637,-729.004,104.004
1669195275.497,-1000.000,-1000.000,-1000.000,-503.906
1669195275.501,-882.324,-170.898,-33.691,-434.082
1669195275.505,444.824,-953.125,-900.879,103.516
1669195275.509,-805.176,833.496,782.227,597.168
1669195275.513,196.289,-554.199,-607.422,203.125
1669195275.517,-1000.000,-1000.000,-1000.000,-467.285
1669195275.521,-992.676,-520.996,-249.023,-477.539
1669195275.524,300.293,903.809,-987.305,12.695
1669195275.528,-800.781,903.809,871.582,570.312
1669195275.532,513.672,-553.711,-522.461,309.570
1669195275.536,-841.797,-1000.000,-1000.000,-404.785
1669195275.540,-1000.000,-700.684,-562.500,-500.488
1669195275.541,46.387,744.629,818.359,-49.805
1669195275.545,-865.723,-974.609,975.098,534.180
1669195275.549,692.871,-423.828,-467.285,392.090
1669195275.553,-690.430,-1000.000,-1000.000,-346.191
1669195275.557,-1000.000,-807.129,-835.449,-495.605
1669195275.561,-288.086,585.449,596.191,-103.027
1669195275.565,-990.234,-872.559,-946.289,493.164
1669195275.568,829.590,-212.891,-442.383,490.723
1669195275.572,-589.355,-1000.000,-1000.000,-241.699
1669195275.576,-1000.000,-840.332,-834.961,-501.953
1669195275.580,-569.824,518.066,525.391,-160.645
1669195275.584,875.000,-823.242,-859.375,447.754
1669195275.586,895.020,105.469,-33.203,567.383
1669195275.590,-588.867,-1000.000,-1000.000,-137.695
1669195275.594,-1000.000,-880.371,-848.145,-489.746
1669195275.598,-766.113,491.699,506.348,-195.801
1669195275.602,712.402,-813.477,-825.684,385.742
1669195275.606,961.914,459.961,571.777,601.562
1669195275.610,-567.383,-921.387,-862.305,-38.574
1669195275.613,-1000.000,-1000.000,-1000.000,-482.910
1669195275.617,-831.543,385.254,401.855,-262.695
1669195275.621,598.145,-829.590,-828.613,301.758
1669195275.625,-938.965,666.016,630.371,624.512
1669195275.629,-420.898,-745.605,-771.973,56.641
1669195275.632,-1000.000,-1000.000,-1000.000,-484.375
1669195275.636,-843.750,212.891,143.555,-321.289
1669195275.640,534.668,-862.305,-839.355,238.770
1669195275.644,-857.422,776.367,668.457,653.809
1669195275.648,-187.988,-580.566,-732.910,164.551
1669195275.652,-1000.000,-1000.000,-1000.000,-443.848
1669195275.656,-879.883,-161.621,-31.738,-374.023
1669195275.659,447.266,-950.195,-898.926,150.879
1669195275.663,-807.617,832.031,775.391,646.484
1669195275.667,165.039,-553.223,-611.816,255.371
1669195275.671,-1000.000,-1000.000,-1000.000,-412.598
1669195275.675,-981.445,-525.879,-283.203,-411.133
1669195275.677,315.430,903.809,-999.023,72.266
1669195275.681,-798.828,900.391,874.023,610.840
1669195275.685,479.980,-560.547,-529.785,343.262
1669195275.689,-862.793,-1000.000,-1000.000,-363.281
1669195275.693,-1000.000,-693.359,-551.270,-464.355
1669195275.697,67.871,759.766,829.590,-23.438
1669195275.701,-857.422,-992.676,968.750,572.754
1669195275.704,678.223,-453.613,-475.098,418.457
1669195275.708,-703.125,-1000.000,-1000.000,-332.520
